scheme,L,public_key_bytes,private_key_bytes,expansion_rate,security_bits,decryption_success,keygen_time,encrypt_time,decrypt_time,seed
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,2.096430540084839,0.0,0.0,12345
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,1.0128273963928223,0.0,0.0,12346
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,0.7149209976196289,0.0,0.001004934310913086,12347
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,2.190272092819214,0.0,0.0,12348
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,1.821523666381836,0.0,0.0,12349
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,1.7097322940826416,0.0,0.0,12350
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,1.7640554904937744,0.0012598037719726562,0.0010633468627929688,12351
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,1.7664687633514404,0.0,0.0,12352
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,1.7671380043029785,0.0,0.0,12353
Hamming,10,66024,204500,1.3636363636363635,15.32370546129755,0,1.901747703552246,0.0,0.009997129440307617,12354
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.6277315616607666,0.0,0.09852123260498047,12345
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.026574373245239258,0.0,0.05266284942626953,12346
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.010178327560424805,0.0,0.03048396110534668,12347
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.02033829689025879,0.0,0.033745765686035156,12348
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.010721206665039062,0.0,0.03990888595581055,12349
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.034207820892333984,0.0,0.06766676902770996,12350
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.030092239379882812,0.0,0.030655384063720703,12351
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.06346464157104492,0.0,0.07180953025817871,12352
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.03296637535095215,0.0,0.08101272583007812,12353
BCH,10,1312,5350,2.142857142857143,84.97642598293578,0,0.02044200897216797,0.0,0.023732900619506836,12354
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,2.6109864711761475,0.0,0.0,12345
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,3.8901431560516357,0.0,0.010346651077270508,12346
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,4.082733869552612,0.0,0.0,12347
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,3.8478844165802,0.0,0.0,12348
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,2.971048593521118,0.0,0.0,12349
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,3.24080228805542,0.0,0.01588296890258789,12350
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,2.9951581954956055,0.0,0.015610933303833008,12351
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,3.4252023696899414,0.0048067569732666016,0.002509593963623047,12352
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,2.4960689544677734,0.0,0.016223430633544922,12353
Hamming,20,264024,817700,1.3636363636363635,17.3333880510404,0,3.491847515106201,0.0,0.016384363174438477,12354
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.043991804122924805,0.0,0.1682124137878418,12345
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.06404829025268555,0.0,0.11121535301208496,12346
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.07507872581481934,0.0,0.17399096488952637,12347
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.0663142204284668,0.0,0.13284540176391602,12348
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.04598855972290039,0.0,0.12877535820007324,12349
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.05906248092651367,0.0,0.1412525177001953,12350
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.05046868324279785,0.0,0.19013428688049316,12351
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.06339049339294434,0.0,0.1486063003540039,12352
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.034171104431152344,0.0,0.11009383201599121,12353
BCH,20,5250,21400,2.142857142857143,169.9528519658718,0,0.031212329864501953,0.0,0.09829831123352051,12354
